program_name,Number of lines,Number of functions,Cyclomatic complexity,Total edges in AST,Height of AST,Maximum nested loop depth,Number of equality constraints,Number of inequality constraints,Call stack depth,c19,c10,c11,c12,c13,c14,c15,c16,c17,c18,c1,c2,c3,c4,c5,c6,c7,c8,c9
array-cav19/array_doub_access_init_const.c,21,8,4,154,10,1,0,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_init_both_ends_multiple_sum.c,27,9,4,179,12,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_init_pair_symmetr.c,29,10,4,194,11,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-cav19/array_min_and_copy_shift_sum_add.c,33,13,4,228,11,1,0,11,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/bor1.i,45,9,3,249,9,1,0,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_const2.c,44,13,4,239,13,1,1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_const5.c,68,19,4,341,13,1,1,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum_m5.c,66,18,4,319,11,1,1,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-crafted/zero_sum2.c,42,12,4,217,11,1,1,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/data_structures_set_multi_proc_ground-2.i,55,17,5,326,12,2,1,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/sanfoundry_02_ground.i,52,13,3,249,11,1,1,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/sanfoundry_10_ground.c,40,12,3,187,12,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_copyInitSum_ground.i,33,9,3,207,10,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_init1_ground-2.i,24,7,3,151,10,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_partial_init_ground.i,37,10,3,226,11,1,1,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-examples/standard_vararg_ground.i,28,8,3,167,10,1,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/brs1.c,38,11,4,223,11,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/brs3.c,38,11,4,225,11,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/condm.c,36,11,4,223,11,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/eqn1.c,35,10,4,243,12,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/eqn2.c,35,10,4,247,13,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/eqn3.c,35,10,4,247,13,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/res1o.c,40,11,4,255,11,1,0,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s2lif.c,39,11,4,242,11,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s52if.c,44,12,4,261,11,1,3,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-fpi/s5if.c,35,10,4,225,11,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_ptr_flag_init.i,46,11,4,235,13,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_ptr_monotonic.i,40,9,3,244,15,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_of_struct_single_elem_init.i,48,10,3,226,12,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_ptr_single_elem_init-1.i,56,13,3,305,17,1,3,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-industry-pattern/array_single_elem_init.i,49,11,3,218,12,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/break-2.i,32,9,3,169,12,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/flag_loopdep.i,46,11,4,236,13,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/flag_loopdep_simple.i,45,11,4,216,12,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/scalar_loopdep.i,33,7,3,171,11,1,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-lopstr16/single_elem_safe.i,55,13,3,298,17,1,3,6,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array1_pattern.c,42,11,4,236,10,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array8_pattern.c,43,12,4,252,10,1,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-patterns/array9_pattern.c,43,12,4,252,10,1,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_1.c,19,8,3,145,10,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_2.c,19,8,3,145,10,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_3.c,19,8,3,147,11,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_4.c,19,8,3,145,10,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_5.c,19,8,3,145,10,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_1.c,27,12,4,204,10,1,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_3.c,27,13,4,214,12,1,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-programs/partial_mod_count_limited_5.c,27,13,4,212,11,1,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/pnr4.c,75,16,5,329,14,1,1,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/revcpyswp2.c,52,13,4,320,14,1,1,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rew.c,37,11,4,205,13,1,0,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnif.c,34,11,4,193,13,1,0,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnifrev.c,34,11,4,197,13,1,0,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewnifrev2.c,31,10,4,190,13,1,0,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
array-tiling/rewrev.c,37,11,4,206,13,1,0,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bitvector-regression/implicitunsignedconversion-2.c,13,3,2,73,8,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label00.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label57.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label58.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem01_label59.c,582,1085,3,6045,80,1,1075,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label21.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label22.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label23.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label44.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label45.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label46.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem02_label47.c,603,1000,3,5644,88,1,991,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem03_label05.c,1656,3070,3,17838,155,1,3060,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem03_label06.c,1656,3070,3,17838,155,1,3060,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem10_label50.c,513,954,3,5736,87,1,649,301,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem10_label51.c,513,954,3,5736,87,1,649,301,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem11_label25.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem11_label26.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem11_label27.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem11_label35.c,886,1659,3,10833,132,1,1023,632,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem14_label53.c,735,1136,3,7219,124,1,783,349,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
eca-rers2012/Problem14_label54.c,735,1136,3,7219,124,1,783,349,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-benchs/Muller_Kahan.c,18,6,3,129,11,1,0,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-benchs/Rump_float.c,13,4,3,168,17,0,0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/double_req_bl_0220a.c,604,131,12,3105,17,2,25,64,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/double_req_bl_0220b.c,604,131,12,3107,17,2,25,64,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/double_req_bl_0876.c,556,130,9,2662,18,1,37,55,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/double_req_bl_0970b.c,156,27,5,787,14,1,7,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/double_req_bl_1031.c,70,16,4,304,12,1,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/float_req_bl_0240a.c,573,123,13,3103,16,2,19,63,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/float_req_bl_0240b.c,573,123,13,3104,16,2,19,63,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
float-newlib/float_req_bl_1231.c,64,33,6,325,12,1,6,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
floats-cbmc-regression/float2.c,16,6,2,105,8,0,4,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
floats-cbmc-regression/float-no-simp1.c,12,3,2,75,8,0,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
floats-cbmc-regression/float-to-double1.i,286,10,2,4176,14,0,5,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
floats-cdfpl/newton_1_1.i,32,9,5,246,13,0,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
floats-cdfpl/newton_2_3.i,33,9,5,259,13,0,0,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
floats-esbmc-regression/digits_for.c,16,5,3,126,12,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
floats-esbmc-regression/Double_div.i.p+cfa-reducer.c,36,4,2,117,11,0,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
floats-esbmc-regression/Float_div.i,23,6,3,136,9,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ldv-regression/fo_test.i,983,13,11,3763,13,0,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ldv-regression/test_overflow.i,751,10,9,3693,13,0,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ldv-regression/test_union.c_1.i,17,4,3,92,8,0,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ldv-regression/test10.c,35,5,3,170,8,0,0,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ldv-regression/volatile_alias.i,14,3,2,80,9,0,0,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-ext3-properties/dll_circular_traversal-1.i,561,14,6,2363,15,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-ext3-properties/dll_circular_traversal-2.i,563,14,6,2373,15,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-ext-properties/960521-1_1-1.i,531,14,8,2242,13,1,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-ext-properties/test-0504_1.i,569,18,7,2420,14,2,0,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-ext-properties/test-0513_1.i,582,25,7,2458,14,2,0,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-properties/list_search-2.i,803,20,11,3937,13,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-simple/dll2c_append_equal.i,582,19,9,2464,15,1,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-simple/dll2c_append_unequal.i,587,20,9,2480,15,1,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
list-simple/sll2n_update_all_reverse.i,567,19,10,2403,15,1,1,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-acceleration/array_1-2.c,17,5,3,103,9,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-acceleration/simple_1-2_abstracted.c,32,5,3,161,9,0,0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-crafted/simple_array_index_value_1-1.i,32,8,3,164,12,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-crafted/simple_array_index_value_1-2.i,37,10,4,179,9,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-crafted/simple_array_index_value_3.i,35,10,4,188,11,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-crafted/simple_array_index_value_4.i.v+nlh-reducer.c,172,19,3,384,30,1,6,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-industry-pattern/aiob_4.c.v+lh-reducer.c,237,8,2,1547,18,0,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-industry-pattern/ofuf_3.c,464,61,12,1836,18,2,8,29,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-lit/mine2017-ex4.10.i,22,6,3,142,9,1,0,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-lit/mine2017-ex4.7.i,25,8,3,147,10,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-new/count_by_1.i,27,8,4,154,9,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-new/count_by_2.i,27,8,4,155,9,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-new/half.i,34,12,4,191,9,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-new/nested-1.i,36,13,4,205,9,2,0,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loops-crafted-1/in-de61.c,48,10,3,157,9,1,1,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loops-crafted-1/sumt2.c,32,9,4,168,9,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loops-crafted-1/watermelon.c,53,14,5,216,9,1,1,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-simple/nested_2.c,14,6,2,81,8,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-simple/nested_3.c,17,8,2,99,10,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
loop-simple/nested_5.c,23,12,2,135,14,5,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nla-digbench/cohendiv.c,47,10,4,252,13,2,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nla-digbench/cohendiv-ll.c,48,10,4,252,13,2,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nla-digbench/geo3.c,35,8,4,201,13,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nla-digbench/lcm2.c,43,9,4,229,11,1,2,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nla-digbench-scaling/cohendiv-ll_valuebound20.c,50,12,4,272,13,2,5,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nla-digbench-scaling/geo2-ll_valuebound2.c,36,10,4,210,13,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
recursive-simple/fibo_10-2.c,21,6,3,118,12,0,1,2,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
recursive-simple/fibo_2calls_10-1.c,32,9,4,173,12,0,2,3,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
