,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference
!,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,80.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,0,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1,sqrt_biNewton_pseudoconstant.c,20.00%,-1
!,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,1.41%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,12.68%,-1,double_req_bl_0660b.c,0,-1,double_req_bl_0660b.c,1.41%,-1,double_req_bl_0660b.c,12.68%,-1
,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,0,-1,double_req_bl_0876.c,8.20%,-1,double_req_bl_0876.c,8.20%,-1
!,float_req_bl_0660a.c,1.43%,-1,float_req_bl_0660a.c,1.43%,-1,float_req_bl_0660a.c,12.86%,-1,float_req_bl_0660a.c,12.86%,-1,float_req_bl_0660a.c,12.86%,-1,float_req_bl_0660a.c,12.86%,-1,float_req_bl_0660a.c,12.86%,-1,float_req_bl_0660a.c,12.86%,-1,float_req_bl_0660a.c,1.43%,-1,float_req_bl_0660a.c,1.43%,-1,float_req_bl_0660a.c,12.86%,-1,float_req_bl_0660a.c,1.43%,-1,float_req_bl_0660a.c,1.43%,-1,float_req_bl_0660a.c,0,-1,float_req_bl_0660a.c,12.86%,-1,float_req_bl_0660a.c,12.86%,-1
!,float_req_bl_0661b.c,14.29%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,14.29%,-1,float_req_bl_0661b.c,14.29%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,14.29%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,0,-1,float_req_bl_0661b.c,1.43%,-1,float_req_bl_0661b.c,14.29%,-1
,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1,digits_for.c,0,-1,digits_for.c,75.00%,-1,digits_for.c,75.00%,-1
,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,0,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1,Double_div.i.p+cfa-reducer.c,75.00%,-1
,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,50.00%,-1,test02.c,0,-1,test02.c,50.00%,-1,test02.c,50.00%,-1
,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,50.00%,-1,test10.c,0,-1,test10.c,50.00%,-1,test10.c,50.00%,-1
!,test22-2.c,87.50%,0.207999945,test22-2.c,87.50%,0.192000151,test22-2.c,75.00%,0.299999952,test22-2.c,87.50%,0.360000134,test22-2.c,75.00%,0.231999874,test22-2.c,87.50%,0.223999977,test22-2.c,75.00%,0.107999802,test22-2.c,87.50%,0.228000164,test22-2.c,75.00%,0.231999874,test22-2.c,87.50%,0.335999966,test22-2.c,87.50%,0.164000034,test22-2.c,87.50%,0.252000093,test22-2.c,87.50%,0.244000196,test22-2.c,0,0.180000067,test22-2.c,87.50%,0.296000004,test22-2.c,75.00%,0.187999964
,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,0,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1
,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,0,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1
,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,0,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1
,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,0,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1
,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,0,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1
,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,0,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1
,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,0,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1
,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,0,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1
,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,0,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1
,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,0,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1
,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,0,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1
